epoch,total_loss
1,819315.3574066162
2,192866.43861675262
3,164922.82625627518
4,159949.08260011673
5,156638.44663000107
6,153387.01815891266
7,150775.35352897644
8,149219.9861717224
9,147889.70488023758
10,146591.17661237717
11,145672.70445251465
12,145132.737303257
13,144400.556787014
14,143801.58279895782
15,143390.06620788574
16,143031.44591522217
17,141918.36227750778
18,19293.20979525149
19,5871.121622994542
20,5500.48494745791
21,5301.947397686541
22,5093.988744981587
23,4957.607091806829
24,4776.184414707124
25,4737.414131380618
26,4666.590004265308
27,4531.56369753927
28,4410.723095905036
29,4350.7214379012585
30,4321.69711733982
31,4297.600158441812
32,4147.66671782732
33,4171.365247055888
34,4043.938369844109
35,4038.988524775952
36,4060.938431005925
37,3926.1307991817594
38,3900.864717464894
39,3885.3997359238565
40,3849.146717891097
41,3766.3740060664713
42,3769.521021515131
43,3756.255437735468
44,3729.501064810902
45,3655.1236543767154
46,3668.7778837047517
47,3612.809550734237
48,3577.8863558992743
49,3562.859306450933
50,3530.269327837974
51,3504.4725420959294
52,3481.075574848801
53,3471.621978841722
54,3422.6284244023263
55,3411.04124558717
56,3390.579777561128
57,3348.0907676965
58,3323.255057401955
59,3319.2430042289197
60,3280.571712438017
